date,sfk_price,pfk_price
2024-12-31 21:00:00+00:00,795.12,627.98
2024-12-31 22:00:00+00:00,795.12,627.98
2024-12-31 23:00:00+00:00,795.12,627.98
2025-01-01 00:00:00+00:00,898.0,411.72
2025-01-01 01:00:00+00:00,898.0,411.72
2025-01-01 02:00:00+00:00,898.0,411.72
2025-01-01 03:00:00+00:00,898.0,411.72
2025-01-01 04:00:00+00:00,1331.0,727.91
2025-01-01 05:00:00+00:00,1331.0,727.91
2025-01-01 06:00:00+00:00,1331.0,727.91
2025-01-01 07:00:00+00:00,1331.0,727.91
2025-01-01 08:00:00+00:00,2030.98,514.96
2025-01-01 09:00:00+00:00,2030.98,514.96
2025-01-01 10:00:00+00:00,2030.98,514.96
2025-01-01 11:00:00+00:00,2030.98,514.96
2025-01-01 12:00:00+00:00,957.19,921.99
2025-01-01 13:00:00+00:00,957.19,921.99
2025-01-01 14:00:00+00:00,957.19,921.99
2025-01-01 15:00:00+00:00,995.12,913.99
2025-01-01 16:00:00+00:00,995.12,913.99
2025-01-01 17:00:00+00:00,995.12,913.99
2025-01-01 18:00:00+00:00,971.2,769.99
2025-01-01 19:00:00+00:00,971.2,769.99
2025-01-01 20:00:00+00:00,971.2,769.99
2025-01-01 21:00:00+00:00,497.0,300.03
2025-01-01 22:00:00+00:00,497.0,300.03
2025-01-01 23:00:00+00:00,497.0,300.03
2025-01-02 00:00:00+00:00,497.0,300.03
2025-01-02 01:00:00+00:00,497.0,300.03
2025-01-02 02:00:00+00:00,497.0,300.03
2025-01-02 03:00:00+00:00,497.0,300.03
2025-01-02 04:00:00+00:00,813.1,765.97
2025-01-02 05:00:00+00:00,813.1,765.97
2025-01-02 06:00:00+00:00,813.1,765.97
2025-01-02 07:00:00+00:00,813.1,765.97
2025-01-02 08:00:00+00:00,301.0,300.03
2025-01-02 09:00:00+00:00,301.0,300.03
2025-01-02 10:00:00+00:00,301.0,300.03
2025-01-02 11:00:00+00:00,301.0,300.03
2025-01-02 12:00:00+00:00,799.1,778.97
2025-01-02 13:00:00+00:00,799.1,778.97
2025-01-02 14:00:00+00:00,799.1,778.97
2025-01-02 15:00:00+00:00,647.72,780.0
2025-01-02 16:00:00+00:00,647.72,780.0
2025-01-02 17:00:00+00:00,647.72,780.0
2025-01-02 18:00:00+00:00,695.11,523.9
2025-01-02 19:00:00+00:00,695.11,523.9
2025-01-02 20:00:00+00:00,695.11,523.9
2025-01-02 21:00:00+00:00,480.0,300.03
2025-01-02 22:00:00+00:00,480.0,300.03
2025-01-02 23:00:00+00:00,480.0,300.03
2025-01-03 00:00:00+00:00,300.01,300.03
2025-01-03 01:00:00+00:00,300.01,300.03
2025-01-03 02:00:00+00:00,300.01,300.03
2025-01-03 03:00:00+00:00,300.01,300.03
2025-01-03 04:00:00+00:00,595.11,697.71
2025-01-03 05:00:00+00:00,595.11,697.71
2025-01-03 06:00:00+00:00,595.11,697.71
2025-01-03 07:00:00+00:00,595.11,697.71
2025-01-03 08:00:00+00:00,300.0,300.03
2025-01-03 09:00:00+00:00,300.0,300.03
2025-01-03 10:00:00+00:00,300.0,300.03
2025-01-03 11:00:00+00:00,300.0,300.03
2025-01-03 12:00:00+00:00,744.0,697.71
2025-01-03 13:00:00+00:00,744.0,697.71
2025-01-03 14:00:00+00:00,744.0,697.71
2025-01-03 15:00:00+00:00,547.71,708.0
2025-01-03 16:00:00+00:00,547.71,708.0
2025-01-03 17:00:00+00:00,547.71,708.0
2025-01-03 18:00:00+00:00,840.0,518.96
2025-01-03 19:00:00+00:00,840.0,518.96
2025-01-03 20:00:00+00:00,840.0,518.96
2025-01-03 21:00:00+00:00,301.0,345.36
2025-01-03 22:00:00+00:00,301.0,345.36
2025-01-03 23:00:00+00:00,301.0,345.36
2025-01-04 00:00:00+00:00,280.01,300.03
2025-01-04 01:00:00+00:00,280.01,300.03
2025-01-04 02:00:00+00:00,280.01,300.03
2025-01-04 03:00:00+00:00,280.01,300.03
2025-01-04 04:00:00+00:00,620.01,620.0
2025-01-04 05:00:00+00:00,620.01,620.0
2025-01-04 06:00:00+00:00,620.01,620.0
2025-01-04 07:00:00+00:00,620.01,620.0
2025-01-04 08:00:00+00:00,281.01,450.96
2025-01-04 09:00:00+00:00,281.01,450.96
2025-01-04 10:00:00+00:00,281.01,450.96
2025-01-04 11:00:00+00:00,281.01,450.96
2025-01-04 12:00:00+00:00,700.0,725.35
2025-01-04 13:00:00+00:00,700.0,725.35
2025-01-04 14:00:00+00:00,700.0,725.35
