date,sfk_price,sfk_amount,pfk_price,pfk_amount
2025-12-31 21:00:00+00:00,1434.0,975,2282.0,412.6
2025-12-31 22:00:00+00:00,1434.0,975,2282.0,412.6
2025-12-31 23:00:00+00:00,1434.0,975,2282.0,412.6
2026-01-01 00:00:00+00:00,1113.0,829,1734.0,412.6
2026-01-01 01:00:00+00:00,1113.0,829,1734.0,412.6
2026-01-01 02:00:00+00:00,1113.0,829,1734.0,412.6
2026-01-01 03:00:00+00:00,1113.0,829,1734.0,412.6
2026-01-01 04:00:00+00:00,1999.0,1007,2515.0,412.6
2026-01-01 05:00:00+00:00,1999.0,1007,2515.0,412.6
2026-01-01 06:00:00+00:00,1999.0,1007,2515.0,412.6
2026-01-01 07:00:00+00:00,1999.0,1007,2515.0,412.6
2026-01-01 08:00:00+00:00,1997.18,1038,2286.0,412.6
2026-01-01 09:00:00+00:00,1997.18,1038,2286.0,412.6
2026-01-01 10:00:00+00:00,1997.18,1038,2286.0,412.6
2026-01-01 11:00:00+00:00,1997.18,1038,2286.0,412.6
2026-01-01 12:00:00+00:00,1037.17,1147,2563.0,417.1
2026-01-01 13:00:00+00:00,1037.17,1147,2563.0,417.1
2026-01-01 14:00:00+00:00,1037.17,1147,2563.0,417.1
2026-01-01 15:00:00+00:00,934.0,967,2507.0,417.1
2026-01-01 16:00:00+00:00,934.0,967,2507.0,417.1
2026-01-01 17:00:00+00:00,934.0,967,2507.0,417.1
2026-01-01 18:00:00+00:00,951.51,943,1587.02,427.3
2026-01-01 19:00:00+00:00,951.51,943,1587.02,427.3
2026-01-01 20:00:00+00:00,951.51,943,1587.02,427.3
2026-01-01 21:00:00+00:00,395.36,957,1292.0,438.24
2026-01-01 22:00:00+00:00,395.36,957,1292.0,438.24
2026-01-01 23:00:00+00:00,395.36,957,1292.0,438.24
2026-01-02 00:00:00+00:00,395.35,871,991.0,438.24
2026-01-02 01:00:00+00:00,395.35,871,991.0,438.24
2026-01-02 02:00:00+00:00,395.35,871,991.0,438.24
2026-01-02 03:00:00+00:00,395.35,871,991.0,438.24
2026-01-02 04:00:00+00:00,713.0,1024,1229.99,412.74
2026-01-02 05:00:00+00:00,713.0,1024,1229.99,412.74
2026-01-02 06:00:00+00:00,713.0,1024,1229.99,412.74
2026-01-02 07:00:00+00:00,713.0,1024,1229.99,412.74
2026-01-02 08:00:00+00:00,795.36,975,1947.0,436.24
2026-01-02 09:00:00+00:00,795.36,975,1947.0,436.24
2026-01-02 10:00:00+00:00,795.36,975,1947.0,436.24
2026-01-02 11:00:00+00:00,795.36,975,1947.0,436.24
2026-01-02 12:00:00+00:00,828.0,1191,1208.98,415.94
2026-01-02 13:00:00+00:00,828.0,1191,1208.98,415.94
2026-01-02 14:00:00+00:00,828.0,1191,1208.98,415.94
2026-01-02 15:00:00+00:00,545.36,972,1198.98,435.94
2026-01-02 16:00:00+00:00,545.36,972,1198.98,435.94
2026-01-02 17:00:00+00:00,545.36,972,1198.98,435.94
2026-01-02 18:00:00+00:00,795.35,998,1372.0,436.24
2026-01-02 19:00:00+00:00,795.35,998,1372.0,436.24
2026-01-02 20:00:00+00:00,795.35,998,1372.0,436.24
2026-01-02 21:00:00+00:00,1799.0,952,1974.0,417.1
2026-01-02 22:00:00+00:00,1799.0,952,1974.0,417.1
2026-01-02 23:00:00+00:00,1799.0,952,1974.0,417.1
2026-01-03 00:00:00+00:00,1666.0,838,1537.0,417.1
2026-01-03 01:00:00+00:00,1666.0,838,1537.0,417.1
2026-01-03 02:00:00+00:00,1666.0,838,1537.0,417.1
2026-01-03 03:00:00+00:00,1666.0,838,1537.0,417.1
2026-01-03 04:00:00+00:00,2508.0,908,2132.0,417.1
2026-01-03 05:00:00+00:00,2508.0,908,2132.0,417.1
2026-01-03 06:00:00+00:00,2508.0,908,2132.0,417.1
2026-01-03 07:00:00+00:00,2508.0,908,2132.0,417.1
2026-01-03 08:00:00+00:00,2335.1,907,1537.01,420.1
2026-01-03 09:00:00+00:00,2335.1,907,1537.01,420.1
2026-01-03 10:00:00+00:00,2335.1,907,1537.01,420.1
2026-01-03 11:00:00+00:00,2335.1,907,1537.01,420.1
2026-01-03 12:00:00+00:00,999.0,1070,1074.99,436.1
2026-01-03 13:00:00+00:00,999.0,1070,1074.99,436.1
2026-01-03 14:00:00+00:00,999.0,1070,1074.99,436.1
2026-01-03 15:00:00+00:00,645.12,970,1995.0,410.73
2026-01-03 16:00:00+00:00,645.12,970,1995.0,410.73
2026-01-03 17:00:00+00:00,645.12,970,1995.0,410.73
2026-01-03 18:00:00+00:00,700.01,910,1400.0,419.1
2026-01-03 19:00:00+00:00,700.01,910,1400.0,419.1
2026-01-03 20:00:00+00:00,700.01,910,1400.0,419.1
2026-01-03 21:00:00+00:00,1699.01,865,1734.02,430.6
2026-01-03 22:00:00+00:00,1699.01,865,1734.02,430.6
2026-01-03 23:00:00+00:00,1699.01,865,1734.02,430.6
2026-01-04 00:00:00+00:00,1759.0,755,1450.0,412.6
2026-01-04 01:00:00+00:00,1759.0,755,1450.0,412.6
2026-01-04 02:00:00+00:00,1759.0,755,1450.0,412.6
2026-01-04 03:00:00+00:00,1759.0,755,1450.0,412.6
2026-01-04 04:00:00+00:00,1759.0,755,1450.0,412.6
2026-01-04 05:00:00+00:00,1830.0,814,1499.98,431.25
2026-01-04 06:00:00+00:00,1830.0,814,1499.98,431.25
2026-01-04 07:00:00+00:00,1830.0,814,1499.98,431.25
2026-01-04 08:00:00+00:00,5169.0,929,1999.98,431.25
2026-01-04 09:00:00+00:00,5169.0,929,1999.98,431.25
2026-01-04 10:00:00+00:00,5169.0,929,1999.98,431.25
2026-01-04 11:00:00+00:00,5169.0,929,1999.98,431.25
2026-01-04 12:00:00+00:00,2472.0,1004,1934.0,412.6
2026-01-04 13:00:00+00:00,2472.0,1004,1934.0,412.6
2026-01-04 14:00:00+00:00,2472.0,1004,1934.0,412.6
2026-01-04 15:00:00+00:00,743.02,969,1518.02,429.1
2026-01-04 16:00:00+00:00,743.02,969,1518.02,429.1
2026-01-04 17:00:00+00:00,743.02,969,1518.02,429.1
2026-01-04 18:00:00+00:00,1000.0,953,2000.0,419.1
2026-01-04 19:00:00+00:00,1000.0,953,2000.0,419.1
2026-01-04 20:00:00+00:00,1000.0,953,2000.0,419.1
2026-01-04 21:00:00+00:00,1936.01,988,1727.0,417.1
2026-01-04 22:00:00+00:00,1936.01,988,1727.0,417.1
2026-01-04 23:00:00+00:00,1936.01,988,1727.0,417.1
2026-01-05 00:00:00+00:00,999.0,872,1419.0,417.1
2026-01-05 01:00:00+00:00,999.0,872,1419.0,417.1
2026-01-05 02:00:00+00:00,999.0,872,1419.0,417.1
2026-01-05 03:00:00+00:00,999.0,872,1419.0,417.1
2026-01-05 04:00:00+00:00,987.45,1086,2020.02,429.1
2026-01-05 05:00:00+00:00,987.45,1086,2020.02,429.1
2026-01-05 06:00:00+00:00,987.45,1086,2020.02,429.1
2026-01-05 07:00:00+00:00,987.45,1086,2020.02,429.1
2026-01-05 08:00:00+00:00,300.0,946,1007.98,415.94
2026-01-05 09:00:00+00:00,300.0,946,1007.98,415.94
2026-01-05 10:00:00+00:00,300.0,946,1007.98,415.94
2026-01-05 11:00:00+00:00,300.0,946,1007.98,415.94
2026-01-05 12:00:00+00:00,663.01,1127,1121.98,415.94
2026-01-05 13:00:00+00:00,663.01,1127,1121.98,415.94
2026-01-05 14:00:00+00:00,663.01,1127,1121.98,415.94
2026-01-05 15:00:00+00:00,853.0,958,1253.98,435.94
2026-01-05 16:00:00+00:00,853.0,958,1253.98,435.94
2026-01-05 17:00:00+00:00,853.0,958,1253.98,435.94
2026-01-05 18:00:00+00:00,500.0,962,822.97,440.94
2026-01-05 19:00:00+00:00,500.0,962,822.97,440.94
2026-01-05 20:00:00+00:00,500.0,962,822.97,440.94
2026-01-05 21:00:00+00:00,1250.0,991,1862.0,417.1
2026-01-05 22:00:00+00:00,1250.0,991,1862.0,417.1
2026-01-05 23:00:00+00:00,1250.0,991,1862.0,417.1
2026-01-06 00:00:00+00:00,899.0,849,1770.0,417.1
2026-01-06 01:00:00+00:00,899.0,849,1770.0,417.1
2026-01-06 02:00:00+00:00,899.0,849,1770.0,417.1
2026-01-06 03:00:00+00:00,899.0,849,1770.0,417.1
2026-01-06 04:00:00+00:00,745.12,1024,2020.0,439.1
2026-01-06 05:00:00+00:00,745.12,1024,2020.0,439.1
2026-01-06 06:00:00+00:00,745.12,1024,2020.0,439.1
2026-01-06 07:00:00+00:00,745.12,1024,2020.0,439.1
2026-01-06 08:00:00+00:00,300.0,946,843.01,432.74
2026-01-06 09:00:00+00:00,300.0,946,843.01,432.74
2026-01-06 10:00:00+00:00,300.0,946,843.01,432.74
2026-01-06 11:00:00+00:00,300.0,946,843.01,432.74
2026-01-06 12:00:00+00:00,625.0,1116,1036.01,440.94
